Key	MapManNumber	Description
AT1G43670.1	GMM:2.1.1.3	major CHO metabolism.synthesis.sucrose.FBPase
AT1G43850.1	GMM:27.3.99;GMM:27.3.11	RNA.regulation of transcription.unclassified;RNA.regulation of transcription.C2H2 zinc finger family
AT1G44575.1	GMM:1.1.1.2	PS.lightreaction.photosystem II.PSII polypeptide subunits
AT1G44575.2	GMM:1.1.1.2	PS.lightreaction.photosystem II.PSII polypeptide subunits
AT1G44810.1	GMM:27.3.49	RNA.regulation of transcription.GeBP like
AT1G45000.1	GMM:29.5.11.20	protein.degradation.ubiquitin.proteasom
AT1G45545.1	GMM:35.2	not assigned.unknown
AT1G46696.1		
AT1G47128.1	GMM:29.5.3	protein.degradation.cysteine protease
AT1G47250.1	GMM:29.5.11.20	protein.degradation.ubiquitin.proteasom
AT1G47260.1	GMM:9.1.1.5	mitochondrial electron transport / ATP synthesis.NADH-DH (type I).complex I.carbonic anhydrase
AT1G47270.1	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX
AT1G47300.1	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX
AT1G47380.1	GMM:29.4	protein.postranslational modification
AT1G47420.1		
AT1G48030.1	GMM:8.1.1.3	TCA / organic transformation.TCA.pyruvate DH.E3
AT1G48040.1	GMM:29.4	protein.postranslational modification
AT1G48090.1	GMM:35.1.19	not assigned.no ontology.C2 domain-containing protein
AT1G48220.1	GMM:29.4.1.58	protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VIII
AT1G48260.1	GMM:29.4	protein.postranslational modification
AT1G48350.1	GMM:29.2.1.1.1.2.18	protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L18
AT1G48420.1	GMM:17.5.1	hormone metabolism.ethylene.synthesis-degradation
AT1G48470.1	GMM:12.2.2	N-metabolism.ammonia metabolism.glutamine synthetase
AT1G48600.1	GMM:11.3	lipid metabolism.phospholipid synthesis
AT1G48630.1	GMM:30.5	signalling.G-proteins
AT1G48660.1	GMM:17.2.3	hormone metabolism.auxin.induced-regulated-responsive-activated
AT1G48830.1	GMM:29.2.1.2.1.7	protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S7
AT1G48910.1	GMM:26.7	"misc.oxidases - copper, flavone etc"
AT1G48920.1	GMM:29.2.2.3.1	protein.synthesis.ribosome biogenesis.pre-rRNA processing and modifications.snoRNPs
AT1G49110.1		
AT1G49240.1	GMM:31.1	cell.organisation
AT1G49290.1		
AT1G49610.1	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX
AT1G49630.1	GMM:29.5.7;GMM:29.5	protein.degradation.metalloprotease;protein.degradation
AT1G49720.1	GMM:17.1.2	hormone metabolism.abscisic acid.signal transduction
AT1G49760.1	GMM:27.1	RNA.processing
AT1G49870.1		
AT1G50170.1	GMM:19.32	tetrapyrrole synthesis.sirohydrochlorin ferrochelatase
AT1G50200.1	GMM:29.1.7	protein.aa activation.alanine-tRNA ligase
AT1G50260.1	GMM:35.1.19	not assigned.no ontology.C2 domain-containing protein
AT1G50320.1	GMM:21.1	redox.thioredoxin
AT1G50360.1	GMM:31.1	cell.organisation
AT1G50480.1	GMM:25.2	C1-metabolism.formate-tetrahydrofolate ligase
AT1G50840.1	GMM:28.1	DNA.synthesis/chromatin structure
AT1G50900.1		
AT1G50920.1	GMM:30.5;GMM:29.2.2.1	signalling.G-proteins;protein.synthesis.ribosome biogenesis.export from nucleus
AT1G51350.1	GMM:35.1.3	not assigned.no ontology.armadillo/beta-catenin repeat family protein
AT1G51400.1	GMM:1.1.1.2	PS.lightreaction.photosystem II.PSII polypeptide subunits
AT1G51440.1	GMM:11.9.2.1	lipid metabolism.lipid degradation.lipases.triacylglycerol lipase
AT1G51540.1	GMM:27.3.67	RNA.regulation of transcription.putative transcription regulator
AT1G51980.1	GMM:29.3.2	protein.targeting.mitochondria
AT1G52030.1	GMM:26.16	misc.myrosinases-lectin-jacalin
AT1G52120.1	GMM:26.16	misc.myrosinases-lectin-jacalin
AT1G52230.1	GMM:1.1.2.2	PS.lightreaction.photosystem I.PSI polypeptide subunits
AT1G52300.1	GMM:29.2.1.2.2.37	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L37
AT1G52320.2	GMM:35.2	not assigned.unknown
AT1G52400.1	GMM:26.3	"misc.gluco-, galacto- and mannosidases"
AT1G52450.1	GMM:29.5.11	protein.degradation.ubiquitin
AT1G52510.1		
AT1G52570.1	GMM:11.9.3.1	lipid metabolism.lipid degradation.lysophospholipases.phospholipase D
AT1G52590.1		
AT1G52740.1	GMM:28.1.3.2.1	DNA.synthesis/chromatin structure.histone.core.H2A
AT1G53050.1	GMM:29.4	protein.postranslational modification
AT1G53090.1	GMM:30.11	signalling.light
AT1G53140.1	GMM:26.17	misc.dynamin
AT1G53210.1	GMM:30.3	signalling.calcium
AT1G53240.1	GMM:8.1.9	TCA / organic transformation.TCA.malate DH
AT1G53310.1	GMM:4.1.15	glycolysis.cytosolic branch.phospho-enol-pyruvate carboxylase (PEPC)
AT1G53390.1	GMM:34.16	transport.ABC transporters and multidrug resistance systems
AT1G53500.1	GMM:10.1.10	cell wall.precursor synthesis.RHM
AT1G53625.1		
AT1G53645.1	GMM:35.1.41	not assigned.no ontology.hydroxyproline rich proteins
AT1G53650.1	GMM:27.4	RNA.RNA binding
AT1G53750.1	GMM:29.5.11.20	protein.degradation.ubiquitin.proteasom
AT1G53760.1		
AT1G53850.1	GMM:29.5.11.20	protein.degradation.ubiquitin.proteasom
AT1G53860.1	GMM:27.3.99	RNA.regulation of transcription.unclassified
AT1G54000.1	GMM:26.16	misc.myrosinases-lectin-jacalin
AT1G54010.1	GMM:26.16;GMM:16.5.1.3.1	misc.myrosinases-lectin-jacalin;secondary metabolism.sulfur-containing.glucosinolates.degradation.myrosinase
AT1G54020.2	GMM:26.16;GMM:16.5.1.3.1	misc.myrosinases-lectin-jacalin;secondary metabolism.sulfur-containing.glucosinolates.degradation.myrosinase
AT1G54100.1	GMM:5.10	fermentation.aldehyde dehydrogenase
AT1G54220.1	GMM:8.1.1.2	TCA / organic transformation.TCA.pyruvate DH.E2
AT1G54270.1	GMM:29.2.3	protein.synthesis.initiation
AT1G54320.1		
AT1G54350.1	GMM:34.16	transport.ABC transporters and multidrug resistance systems
AT1G54410.1	GMM:20.2.99	stress.abiotic.unspecified
AT1G54580.1	GMM:11.1.12	lipid metabolism.FA synthesis and FA elongation.ACP protein
AT1G54610.1	GMM:29.4.1	protein.postranslational modification.kinase
AT1G54630.1	GMM:11.1.12	lipid metabolism.FA synthesis and FA elongation.ACP protein
AT1G54650.1	GMM:35.1	not assigned.no ontology
AT1G54680.1	GMM:35.2	not assigned.unknown
AT1G54690.1	GMM:28.1.3.2.1	DNA.synthesis/chromatin structure.histone.core.H2A
AT1G54780.1		
AT1G54820.1	GMM:30.2.18	signalling.receptor kinases.extensin
AT1G55090.1		
AT1G55480.1		
AT1G55490.1	GMM:29.6;GMM:1.3.13	protein.folding;PS.calvin cycle.rubisco interacting
AT1G55670.1	GMM:1.1.2.2	PS.lightreaction.photosystem I.PSI polypeptide subunits
AT1G55780.1		
AT1G55840.1	GMM:29.3.4.99	protein.targeting.secretory pathway.unspecified
AT1G55860.1	GMM:29.5.11.4.1	protein.degradation.ubiquitin.E3.HECT
AT1G55900.1	GMM:34.9	transport.metabolite transporters at the mitochondrial membrane
AT1G55970.1	GMM:27.3.54	RNA.regulation of transcription.histone acetyltransferases
AT1G55990.1	GMM:35.1.40	not assigned.no ontology.glycine rich proteins
AT1G56050.1	GMM:30.5	signalling.G-proteins
AT1G56070.1	GMM:29.2.4	protein.synthesis.elongation
AT1G56110.1	GMM:27.3.67	RNA.regulation of transcription.putative transcription regulator
AT1G56190.1	GMM:1.3.3	PS.calvin cycle.phosphoglycerate kinase
AT1G56240.1	GMM:31.1	cell.organisation
AT1G56290.1		
AT1G56340.1	GMM:30.3	signalling.calcium
AT1G56340.2	GMM:30.3	signalling.calcium
AT1G56450.1	GMM:29.5.11.20	protein.degradation.ubiquitin.proteasom
AT1G56630.1	GMM:11.9.2.1	lipid metabolism.lipid degradation.lipases.triacylglycerol lipase
AT1G57720.1	GMM:29.2.4	protein.synthesis.elongation
AT1G58037.1		
AT1G58080.1	GMM:13.1.7.1	amino acid metabolism.synthesis.histidine.ATP phosphoribosyltransferase
AT1G58230.1	GMM:35.1	not assigned.no ontology
AT1G58270.1		
AT1G58380.1	GMM:29.2.1.2.1.2	protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S2
AT1G58807.1	GMM:20.1.7	stress.biotic.PR-proteins
AT1G58848.1	GMM:20.1	stress.biotic
AT1G59171.1		
AT1G59453.1	GMM:27.3.67	RNA.regulation of transcription.putative transcription regulator
AT1G59630.1	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX
AT1G59660.1	GMM:29.3.1	protein.targeting.nucleus
AT1G59760.1	GMM:27.1	RNA.processing
AT1G59870.1	GMM:34.16	transport.ABC transporters and multidrug resistance systems
AT1G59900.1	GMM:8.1.1.1	TCA / organic transformation.TCA.pyruvate DH.E1
AT1G59990.1	GMM:28.1	DNA.synthesis/chromatin structure
AT1G60110.1	GMM:26.16	misc.myrosinases-lectin-jacalin
AT1G60350.1	GMM:33.99	development.unspecified
AT1G60410.1	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX
AT1G60690.1	GMM:17.2.3	hormone metabolism.auxin.induced-regulated-responsive-activated
AT1G60720.1		
AT1G60780.1	GMM:29.3.4.99	protein.targeting.secretory pathway.unspecified
AT1G60890.1	GMM:30.4.1	signalling.phosphinositides.phosphatidylinositol-4-phosphate 5-kinase
AT1G60950.1	GMM:1.1.5.2	PS.lightreaction.other electron carrier (ox/red).ferredoxin
AT1G61060.1	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX
AT1G61190.1	GMM:20.1.7	stress.biotic.PR-proteins
AT1G61320.1	GMM:27.3.67	RNA.regulation of transcription.putative transcription regulator
AT1G61520.1	GMM:1.1.2.1	PS.lightreaction.photosystem I.LHC-I
AT1G61600.1		
AT1G61640.1	GMM:35.1.1	not assigned.no ontology.ABC1 family protein
AT1G61780.1		
AT1G61960.1	GMM:27.3.99	RNA.regulation of transcription.unclassified
AT1G61990.1	GMM:27.3.99	RNA.regulation of transcription.unclassified
AT1G62020.1	GMM:31.4	cell.vesicle transport
AT1G62085.1	GMM:35.1	not assigned.no ontology
AT1G62110.1	GMM:27.3.99	RNA.regulation of transcription.unclassified
AT1G62320.1	GMM:20.2.3	stress.abiotic.drought/salt
AT1G62330.1		
AT1G62380.1	GMM:17.5.1.2	hormone metabolism.ethylene.synthesis-degradation.1-aminocyclopropane-1-carboxylate oxidase
AT1G62430.1	GMM:11.3.3	lipid metabolism.phospholipid synthesis.phosphatidate cytidylyltransferase
AT1G62750.1	GMM:29.2.4	protein.synthesis.elongation
AT1G62760.1	GMM:26.18	misc.invertase/pectin methylesterase inhibitor family protein
AT1G62780.1		
AT1G62820.1	GMM:30.3	signalling.calcium
AT1G62950.1	GMM:30.2.7	signalling.receptor kinases.leucine rich repeat VII
AT1G62960.1	GMM:17.5.1.1	hormone metabolism.ethylene.synthesis-degradation.1-aminocyclopropane-1-carboxylate synthase
AT1G63160.1	GMM:28.1	DNA.synthesis/chromatin structure
AT1G63300.1		
AT1G63680.1	GMM:33.99	development.unspecified
AT1G63710.1	GMM:26.10	misc.cytochrome P450
AT1G63770.1	GMM:29.5	protein.degradation
AT1G63770.2	GMM:29.5	protein.degradation
AT1G63880.1	GMM:20.1.7	stress.biotic.PR-proteins
AT1G63940.1	GMM:21.2.1	redox.ascorbate and glutathione.ascorbate
AT1G63940.3	GMM:21.2.1	redox.ascorbate and glutathione.ascorbate
AT1G64000.1	GMM:27.3.32	RNA.regulation of transcription.WRKY domain transcription factor family
AT1G64050.1		
AT1G64090.1		
AT1G64180.1	GMM:31.4	cell.vesicle transport
AT1G64190.1	GMM:7.1.3	OPP.oxidative PP.6-phosphogluconate dehydrogenase
AT1G64200.1	GMM:34.1.1	transport.p- and v-ATPases.H+-transporting two-sector ATPase
AT1G64255.1	GMM:27.3.99	RNA.regulation of transcription.unclassified
AT1G64260.1	GMM:27.3.99	RNA.regulation of transcription.unclassified
AT1G64300.1	GMM:29.4	protein.postranslational modification
AT1G64510.1	GMM:29.2.1.1.1.1.6	protein.synthesis.ribosomal protein.prokaryotic.chloroplast.30S subunit.S6
AT1G64520.1	GMM:29.5.11.20	protein.degradation.ubiquitin.proteasom
AT1G64625.1	GMM:27.3.6	RNA.regulation of transcription.basic helix-loop-helix family (bHLH)
AT1G64860.1	GMM:27.3.85	RNA.regulation of transcription.sigma like plant
AT1G65210.1		
AT1G65230.1		
AT1G65260.1	GMM:27.3.99	RNA.regulation of transcription.unclassified
AT1G65290.1	GMM:11.1.12	lipid metabolism.FA synthesis and FA elongation.ACP protein
AT1G65300.1	GMM:27.3.24	RNA.regulation of transcription.MADS box transcription factor family
AT1G65330.1	GMM:27.3.24	RNA.regulation of transcription.MADS box transcription factor family
AT1G65350.1	GMM:29.5.11	protein.degradation.ubiquitin
AT1G65660.1	GMM:27.1.1	RNA.processing.splicing
AT1G65680.1	GMM:10.7	cell wall.modification
AT1G65810.1	GMM:28.1	DNA.synthesis/chromatin structure
AT1G65930.1	GMM:8.1.4	TCA / organic transformation.TCA.IDH
AT1G65950.1	GMM:34.16	transport.ABC transporters and multidrug resistance systems
AT1G65960.1	GMM:13.1.1.1.1	amino acid metabolism.synthesis.central amino acid metabolism.GABA.glutamate decarboxylase
AT1G65960.2	GMM:13.1.1.1.1	amino acid metabolism.synthesis.central amino acid metabolism.GABA.glutamate decarboxylase
AT1G65980.1	GMM:21.5	redox.peroxiredoxin
AT1G66020.1	GMM:16.1.5	secondary metabolism.isoprenoids.terpenoids
AT1G66090.1	GMM:20.1.7	stress.biotic.PR-proteins
AT1G66160.1	GMM:27.3.64	RNA.regulation of transcription.PHOR1
AT1G66200.1	GMM:12.2.2	N-metabolism.ammonia metabolism.glutamine synthetase
AT1G66240.1	GMM:15.2	"metal handling.binding, chelation and storage"
AT1G66410.1	GMM:30.3	signalling.calcium
AT1G66580.1	GMM:29.2.1.2.2.10	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L10
AT1G66670.1	GMM:29.5.5	protein.degradation.serine protease
AT1G66680.1		
AT1G66860.1		
AT1G66930.1	GMM:30.2.20	signalling.receptor kinases.wheat LRK10 like
AT1G66970.1	GMM:11.9.3.3	lipid metabolism.lipid degradation.lysophospholipases.glycerophosphodiester phosphodiesterase
AT1G66980.1	GMM:11.9.3.3	lipid metabolism.lipid degradation.lysophospholipases.glycerophosphodiester phosphodiesterase
AT1G67090.1	GMM:1.3.2	PS.calvin cycle.rubisco small subunit
AT1G67120.1	GMM:29.2.2	protein.synthesis.ribosome biogenesis
AT1G67140.1		
AT1G67190.1	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX
AT1G67230.1		
AT1G67280.1	GMM:24.2	biodegradation of xenobiotics.lactoylglutathione lyase
AT1G67390.1	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX
AT1G67510.1	GMM:30.2.3	signalling.receptor kinases.leucine rich repeat III
AT1G67520.1	GMM:29.4	protein.postranslational modification
AT1G67550.1	GMM:13.2.2.3	amino acid metabolism.degradation.glutamate family.arginine
AT1G67690.1	GMM:29.5	protein.degradation
AT1G67700.1	GMM:29.5	protein.degradation
AT1G68010.1	GMM:13.2.5.2;GMM:1.2.6	amino acid metabolism.degradation.serine-glycine-cysteine group.glycine;PS.photorespiration.hydroxypyruvate reductase
AT1G68020.2	GMM:3.2.3	minor CHO metabolism.trehalose.potential TPS/TPP
AT1G68150.1	GMM:27.3.32	RNA.regulation of transcription.WRKY domain transcription factor family
AT1G68370.1	GMM:30.12;GMM:17.2.2	signalling.gravity;hormone metabolism.auxin.signal transduction
AT1G68410.1	GMM:29.4	protein.postranslational modification
AT1G68530.1	GMM:16.7	secondary metabolism.wax
AT1G68560.1	GMM:26.3.1	"misc.gluco-, galacto- and mannosidases.alpha-galactosidase"
AT1G68710.1	GMM:27.3.35	RNA.regulation of transcription.bZIP transcription factor family
AT1G68890.1	GMM:18.5.2.8.1	"Co-factor and vitamine metabolism.folate and vitamine K.vitamine K.2-phytyl-1,4-naphthoquinone methyltransferase.PHYLLO"
AT1G68960.1		
AT1G68980.1	GMM:35.1.5	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein
AT1G68990.1	GMM:27.2	RNA.transcription
AT1G69030.1	GMM:35.1.8	not assigned.no ontology.BSD domain-containing protein
AT1G69380.1		
AT1G69720.1	GMM:19.21	tetrapyrrole synthesis.heme oxygenase
AT1G69740.1	GMM:19.4	tetrapyrrole synthesis.ALA dehydratase
AT1G69760.1		
AT1G69790.1	GMM:29.4.1.57	protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII
AT1G70080.1	GMM:16.1.5	secondary metabolism.isoprenoids.terpenoids
AT1G70180.1	GMM:35.1	not assigned.no ontology
AT1G70180.2	GMM:35.1	not assigned.no ontology
AT1G70410.1	GMM:8.3	TCA / organic transformation.carbonic anhydrases
AT1G70410.2	GMM:8.3	TCA / organic transformation.carbonic anhydrases
AT1G70430.1	GMM:29.4	protein.postranslational modification
AT1G70730.1	GMM:4.1.2	glycolysis.cytosolic branch.phosphoglucomutase (PGM)
AT1G70830.1	GMM:20.2.99;GMM:20.1	stress.abiotic.unspecified;stress.biotic
AT1G70830.3	GMM:20.2.99;GMM:20.1	stress.abiotic.unspecified;stress.biotic
AT1G70840.1	GMM:20.2.99	stress.abiotic.unspecified
AT1G70850.1	GMM:20.2.99	stress.abiotic.unspecified
AT1G70890.1	GMM:20.2.99	stress.abiotic.unspecified
AT1G70960.1	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX
AT1G70980.1	GMM:29.1.22	protein.aa activation.asparagine-tRNA ligase
AT1G71020.2	GMM:29.5.11.4.2;GMM:29.5.11	protein.degradation.ubiquitin.E3.RING;protein.degradation.ubiquitin
AT1G71060.1	GMM:35.1.5	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein
AT1G71100.1	GMM:7.2.4	OPP.non-reductive PP.ribose 5-phosphate isomerase
AT1G71220.1	GMM:29.7.4	protein.glycosylation.UDP-glucose glycoprotein glucosyltransferase
AT1G71390.1	GMM:20.1.7	stress.biotic.PR-proteins
AT1G71500.1	GMM:26.30	misc.other Ferredoxins and Rieske domain
AT1G71692.1	GMM:27.3.24	RNA.regulation of transcription.MADS box transcription factor family
AT1G71695.1	GMM:26.12	misc.peroxidases
AT1G72130.2	GMM:34.13	transport.peptides and oligopeptides
AT1G72150.1	GMM:34.99	transport.misc
AT1G72160.1	GMM:29.3.4.99	protein.targeting.secretory pathway.unspecified
AT1G72370.1	GMM:29.2.1.2.1.31	protein.synthesis.ribosomal protein.eukaryotic.40S subunit.SA
AT1G72610.1	GMM:20.2.99	stress.abiotic.unspecified
AT1G72820.1	GMM:34.9	transport.metabolite transporters at the mitochondrial membrane
AT1G73060.1		
AT1G73210.1	GMM:35.2	not assigned.unknown
AT1G73230.1	GMM:27.3.67	RNA.regulation of transcription.putative transcription regulator
AT1G73260.1	GMM:20.1.7.6.1	stress.biotic.PR-proteins.PR6 (proteinase inhibitors).trypsin inhibitor
AT1G73400.1	GMM:35.1.5	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein
AT1G73510.1		
AT1G73600.1	GMM:11.3	lipid metabolism.phospholipid synthesis
AT1G73620.1	GMM:20.1	stress.biotic
AT1G73680.1	GMM:26.14	misc.oxygenases
AT1G73710.1	GMM:35.1.5	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein
AT1G73720.1	GMM:33.99	development.unspecified
AT1G73730.1	GMM:27.3.19	RNA.regulation of transcription.EIN3-like (EIL) transcription factor family
AT1G74030.1	GMM:4.1.13	glycolysis.cytosolic branch.enolase
AT1G74040.1	GMM:13.1.4.4.1	amino acid metabolism.synthesis.branched chain group.leucine specific.2-isopropylmalate synthase
AT1G74050.1	GMM:29.2.1.2.2.6	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L6
AT1G74060.1	GMM:29.2.1.2.2.6	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L6
AT1G74100.1	GMM:26.25;GMM:16.5.1.1.3.3	misc.sulfotransferase;secondary metabolism.sulfur-containing.glucosinolates.synthesis.indole.indole-3-methyl-desulfoglucosinolate sulfotransferase
AT1G74120.1	GMM:27.3.99	RNA.regulation of transcription.unclassified
AT1G74230.1	GMM:27.4	RNA.RNA binding
AT1G74360.1	GMM:17.3.2.1	hormone metabolism.brassinosteroid.signal transduction.BRI
AT1G74470.1	GMM:16.1.1	secondary metabolism.isoprenoids.non-mevalonate pathway
AT1G74560.1	GMM:28.1	DNA.synthesis/chromatin structure
AT1G74560.3	GMM:28.1	DNA.synthesis/chromatin structure
AT1G74580.1	GMM:35.1.5	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein
AT1G74690.1	GMM:30.3	signalling.calcium
AT1G74790.1	GMM:31.1	cell.organisation
AT1G74920.1	GMM:16.4.2.1	secondary metabolism.N misc.betaine.betaine-aldehyde dehydrogenase
AT1G74970.1	GMM:29.2.1.1.1.1.9	protein.synthesis.ribosomal protein.prokaryotic.chloroplast.30S subunit.S9
AT1G75330.1	GMM:13.1.2.3.21	amino acid metabolism.synthesis.glutamate family.arginine.ornithine carbamoyltransferase
AT1G75350.1	GMM:29.2.1.1.1.2.31	protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L31
AT1G75420.1	GMM:35.1	not assigned.no ontology
AT1G75820.1	GMM:30.2.11	signalling.receptor kinases.leucine rich repeat XI
AT1G75950.1	GMM:29.5.11.4.3.1	protein.degradation.ubiquitin.E3.SCF.SKP
AT1G76030.1	GMM:34.1.1.1	transport.p- and v-ATPases.H+-transporting two-sector ATPase.subunit B
AT1G76080.1	GMM:21.1	redox.thioredoxin
AT1G76160.1		
AT1G76180.1	GMM:20.2.99	stress.abiotic.unspecified
AT1G76220.1		
AT1G76680.1	GMM:17.7.1.5	hormone metabolism.jasmonate.synthesis-degradation.12-oxophytodienoate reductase 3
AT1G76825.1		
AT1G77080.2	GMM:27.3.24	RNA.regulation of transcription.MADS box transcription factor family
AT1G77120.1	GMM:5.3	fermentation.ADH
AT1G77170.1	GMM:35.1.5	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein
AT1G77230.1	GMM:35.1.27	not assigned.no ontology.tetratricopeptide repeat (TPR)
AT1G77280.1	GMM:29.4.1.56	protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VI
AT1G77460.1	GMM:35.1.19	not assigned.no ontology.C2 domain-containing protein
AT1G77510.1	GMM:21.1.1	redox.thioredoxin.PDIL
AT1G77620.1		
AT1G77710.1		
AT1G77940.1	GMM:29.2.1.2.2.30	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L30
AT1G78020.1	GMM:33.99	development.unspecified
AT1G78110.1		
AT1G78300.1	GMM:30.7	signalling.14-3-3 proteins
AT1G78340.1	GMM:26.9	misc.glutathione S transferases
AT1G78360.1	GMM:26.9	misc.glutathione S transferases
AT1G78370.1	GMM:26.9	misc.glutathione S transferases
AT1G78380.1	GMM:26.9	misc.glutathione S transferases
AT1G78390.1	GMM:17.1.1.1.10	hormone metabolism.abscisic acid.synthesis-degradation.synthesis.9-cis-epoxycarotenoid dioxygenase
AT1G78530.1	GMM:30.2.13	signalling.receptor kinases.leucine rich repeat XIII
AT1G78570.1	GMM:10.1.10	cell wall.precursor synthesis.RHM
AT1G78610.1	GMM:30.99	signalling.unspecified
AT1G78820.1	GMM:26.16	misc.myrosinases-lectin-jacalin
AT1G78830.1	GMM:26.16	misc.myrosinases-lectin-jacalin
AT1G78840.1	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX
AT1G78850.1	GMM:26.16	misc.myrosinases-lectin-jacalin
AT1G78900.1	GMM:34.1	transport.p- and v-ATPases
AT1G79040.1	GMM:1.1.1.2	PS.lightreaction.photosystem II.PSII polypeptide subunits
AT1G79230.1	GMM:13.2.5.3	amino acid metabolism.degradation.serine-glycine-cysteine group.cysteine
AT1G79270.1	GMM:35.2	not assigned.unknown
AT1G79330.1	GMM:29.5	protein.degradation
AT1G79350.1	GMM:33.99	development.unspecified
AT1G79440.1	GMM:8.2.99	TCA / organic transformation.other organic acid transformations.misc
AT1G79460.1	GMM:17.6.1.2	hormone metabolism.gibberelin.synthesis-degradation.ent-kaurene synthase
AT1G79470.1	GMM:23.1.2.30	nucleotide metabolism.synthesis.purine.IMP dehydrogenase
AT1G79550.1	GMM:4.1.11	glycolysis.cytosolic branch.3-phosphoglycerate kinase (PGK)
AT1G79560.1	GMM:29.5.7	protein.degradation.metalloprotease
AT1G79570.1	GMM:29.4	protein.postranslational modification
AT1G79740.1	GMM:35.1	not assigned.no ontology
AT1G79850.1	GMM:29.2.1.1.1.1.17	protein.synthesis.ribosomal protein.prokaryotic.chloroplast.30S subunit.S17
AT1G79880.1		
AT1G79890.1	GMM:28.99	DNA.unspecified
AT1G79920.1	GMM:20.2.1	stress.abiotic.heat
AT1G79930.1	GMM:20.2.1	stress.abiotic.heat
AT1G80380.1	GMM:1.2.7	PS.photorespiration.glycerate kinase
AT1G80410.1	GMM:26.5	misc.acyl transferases
AT1G80490.1	GMM:33.99	development.unspecified
AT1G80600.1	GMM:13.1.2.3.4	amino acid metabolism.synthesis.glutamate family.arginine.acetylornithine aminotransferase
AT1G80660.1	GMM:34.1.2	transport.p- and v-ATPases.H+-exporting ATPase
AT2G01140.1	GMM:1.3.6	PS.calvin cycle.aldolase
AT2G01210.1	GMM:30.2.3	signalling.receptor kinases.leucine rich repeat III
AT2G01250.1	GMM:29.2.1.2.2.7	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L7
AT2G01470.1	GMM:29.5	protein.degradation
AT2G01800.2	GMM:33.99	development.unspecified
AT2G01810.1	GMM:27.3.67	RNA.regulation of transcription.putative transcription regulator
AT2G01950.1	GMM:17.3.2.1	hormone metabolism.brassinosteroid.signal transduction.BRI
AT2G02010.1	GMM:13.1.1.1.1	amino acid metabolism.synthesis.central amino acid metabolism.GABA.glutamate decarboxylase
AT2G02515.1		
AT2G02560.1	GMM:33.99;GMM:17.2.2	development.unspecified;hormone metabolism.auxin.signal transduction
AT2G02580.1	GMM:26.10	misc.cytochrome P450
AT2G02680.1	GMM:35.1.26	not assigned.no ontology.DC1 domain containing protein
AT2G02770.1	GMM:33.99	development.unspecified
AT2G02930.1	GMM:26.9	misc.glutathione S transferases
AT2G03070.1		
AT2G03140.1	GMM:33.99	development.unspecified
AT2G03180.1		
AT2G03190.1	GMM:29.5.11.4.3.1	protein.degradation.ubiquitin.E3.SCF.SKP
AT2G03260.1	GMM:34.7	transport.phosphate
AT2G03280.1		
AT2G03300.1	GMM:35.1.6	not assigned.no ontology.Toll-interleukin-resistance (TIR) domain-containing protein
AT2G03440.1	GMM:33.99	development.unspecified
AT2G03450.1	GMM:26.13	misc.acid and other phosphatases
AT2G03870.1	GMM:27.1	RNA.processing
AT2G04030.1	GMM:20.2.1	stress.abiotic.heat
AT2G04030.2	GMM:20.2.1	stress.abiotic.heat
AT2G04170.1	GMM:35.1	not assigned.no ontology
AT2G04235.1	GMM:35.2	not assigned.unknown
AT2G04380.1		
AT2G04390.1	GMM:29.2.1.2.1.17	protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S17
